api,endpoint,nl_input,definition_of_api,paraphrase_type,embedding_model
register,https://example.com/api/register,connect to the system with user name and Y,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,start a session using username X and password Y,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,user name password Y enter,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,grant access after verifying usrname and pasword,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,"with username X, sign-in","Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,connect with account info usrname and Y,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,use usr and pass to logn,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,authenticate via pasword and user,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
register,https://example.com/api/register,start session using user name and pass Y,"Creates a new user account with username, password, and email address.",register_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,usrname password Y signin,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,kindly log in using usrname and pass Y,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,"with username X, grant access",Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,use user and pasword Y to connect,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,use my creds to access account,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,signin to the system with username X and password,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,access account to the system with X and password,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,use my login details to sign-in,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,signin with account details username and Y,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,username X pass signin,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,grant access after verifying user X and password Y,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,connect to the system with user name and Y,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,start a session using username X and password Y,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,user name password Y enter,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,grant access after verifying usrname and pasword,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,"with username X, sign-in",Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,connect with account info usrname and Y,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,use usr and pass to logn,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,authenticate via pasword and user,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
logout,https://example.com/api/logout,start session using user name and pass Y,Terminates the current user session and invalidates the authentication token.,logout_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,usrname password Y signin,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,kindly log in using usrname and pass Y,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,"with username X, grant access",Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,use user and pasword Y to connect,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,use my creds to access account,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,signin to the system with username X and password,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,access account to the system with X and password,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,use my login details to sign-in,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,signin with account details username and Y,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,username X pass signin,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,grant access after verifying user X and password Y,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,connect to the system with user name and Y,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,start a session using username X and password Y,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,user name password Y enter,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,grant access after verifying usrname and pasword,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,"with username X, sign-in",Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,connect with account info usrname and Y,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,use usr and pass to logn,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,authenticate via pasword and user,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
forgot-password,https://example.com/api/forgot-password,start session using user name and pass Y,Initiates password reset process by sending a reset link to the user's email.,forgot-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,usrname password Y signin,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,kindly log in using usrname and pass Y,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,"with username X, grant access",Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,use user and pasword Y to connect,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,use my creds to access account,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,signin to the system with username X and password,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,access account to the system with X and password,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,use my login details to sign-in,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,signin with account details username and Y,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,username X pass signin,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,grant access after verifying user X and password Y,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,connect to the system with user name and Y,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,start a session using username X and password Y,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,user name password Y enter,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,grant access after verifying usrname and pasword,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,"with username X, sign-in",Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,connect with account info usrname and Y,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,use usr and pass to logn,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,authenticate via pasword and user,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
change-password,https://example.com/api/change-password,start session using user name and pass Y,Updates user's password after verifying the old password.,change-password_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,usrname password Y signin,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,kindly log in using usrname and pass Y,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,"with username X, grant access",Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,use user and pasword Y to connect,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,use my creds to access account,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,signin to the system with username X and password,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,access account to the system with X and password,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,use my login details to sign-in,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,signin with account details username and Y,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,username X pass signin,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,grant access after verifying user X and password Y,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,connect to the system with user name and Y,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,start a session using username X and password Y,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,user name password Y enter,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,grant access after verifying usrname and pasword,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,"with username X, sign-in",Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,connect with account info usrname and Y,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,use usr and pass to logn,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,authenticate via pasword and user,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
verify-email,https://example.com/api/verify-email,start session using user name and pass Y,Verifies user's email address using a verification token sent via email.,verify-email_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,usrname password Y signin,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,kindly log in using usrname and pass Y,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,"with username X, grant access",Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,use user and pasword Y to connect,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,use my creds to access account,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,signin to the system with username X and password,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,access account to the system with X and password,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,use my login details to sign-in,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,signin with account details username and Y,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,username X pass signin,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,grant access after verifying user X and password Y,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,connect to the system with user name and Y,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,start a session using username X and password Y,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,user name password Y enter,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,grant access after verifying usrname and pasword,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,"with username X, sign-in",Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,connect with account info usrname and Y,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,use usr and pass to logn,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,authenticate via pasword and user,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
refresh-token,https://example.com/api/refresh-token,start session using user name and pass Y,Generates a new access token using a valid refresh token.,refresh-token_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,usrname password Y signin,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,kindly log in using usrname and pass Y,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,"with username X, grant access",Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,use user and pasword Y to connect,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,use my creds to access account,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,signin to the system with username X and password,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,access account to the system with X and password,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,use my login details to sign-in,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,signin with account details username and Y,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,username X pass signin,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,grant access after verifying user X and password Y,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,connect to the system with user name and Y,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,start a session using username X and password Y,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,user name password Y enter,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,grant access after verifying usrname and pasword,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,"with username X, sign-in",Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,connect with account info usrname and Y,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,use usr and pass to logn,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,authenticate via pasword and user,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
get-profile,https://example.com/api/profile,start session using user name and pass Y,Retrieves the authenticated user's profile information.,get-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,usrname password Y signin,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,kindly log in using usrname and pass Y,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,"with username X, grant access",Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,use user and pasword Y to connect,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,use my creds to access account,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,signin to the system with username X and password,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,access account to the system with X and password,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,use my login details to sign-in,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,signin with account details username and Y,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
update-profile,https://example.com/api/profile,username X pass signin,Updates the authenticated user's profile information.,update-profile_synonyms_and_typos,sentence-transformers/all-MiniLM-L6-v2
