"t_id","query","intent_type","simulate","confidence_score","notes"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gimme a new order, like, right now","action","False","0.7","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna make an order for some stuff","action","False","0.73","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new order","action","False","0.85","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create order","action","False","0.83","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","simulate order creation process","action","True","0.96","test"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new customer order for a subscription service.","action","False","0.95","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a purchase order for items in the shopping cart.","action","False","0.92","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to place an order for a new client account.","action","False","0.9","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a customer order with specified shipping details.","action","False","0.88","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a new order for product ID XYZ with standard delivery.","action","False","0.87","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order for a customer using tokenized payment.","action","False","0.91","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat custmer oder","action","False","0.75","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt a neww ordr","action","False","0.72","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plase an ordar for costomer","action","False","0.7","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creaet a costumer order","action","False","0.68","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ordeer creatioin","action","False","0.65","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create cust ord w/ exp ship","action","False","0.8","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord for cust ID 456","action","False","0.78","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","proc purch ord","action","False","0.77","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gonna add an order real quick","action","False","0.75","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","yo, hook me up with an order","action","False","0.72","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","lemme make a new order for this dude","action","False","0.7","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place order","action","False","0.85","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","New customer order","action","False","0.83","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Simulate order creation process","action","True","0.9","test"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new customer order for a subscription service with auto-payment.","action","False","0.95","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to place an order for customer ID 78901 with multiple items and standard shipping.","action","False","0.92","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a purchase order using tokenized payment information and a specific delivery address.","action","False","0.93","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How do I create an order through the API, including inventory validation?","action","False","0.88","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a new order for an existing customer, ensuring all details are consistent.","action","False","0.91","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate an order for a customer from a POS system, including product list and payment.","action","False","0.9","clean"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat custoemr ordr for new client","action","False","0.78","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plase an order for custommer 456","action","False","0.75","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt a pruchase ordeer","action","False","0.77","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order cretion for a subscrition","action","False","0.79","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make an orer for cust ID 112233","action","False","0.76","typo"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cust ord w/ express ship","action","False","0.82","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord for ID 987","action","False","0.85","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","proc cust purch req","action","False","0.8","abbrev"
"347ac849-20ac-4cd7-ae49-288d9e96484b","yo, make an order for this dude","action","False","0.7","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gimme a new order for the customer","action","False","0.72","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna put in an order, ASAP","action","False","0.71","slang"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new order","action","False","0.88","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create order","action","False","0.9","short"
"347ac849-20ac-4cd7-ae49-288d9e96484b","dry run order creation with simulate true","action","True","0.96","test"
