"query","api","endpoint","method","request","expected_response","scenario_type","test_category","notes"
"Create a new order with payment method as upi and currency as USD with a long customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123456789"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0011"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a long customer ID"
"Create a new order with payment method as card and currency as INR with a null customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": null, ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0012"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null customer ID"
"Create a new order with payment method as upi and currency as USD with a large order ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0013"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a large order ID"
"Create a new order with payment method as card and currency as INR with a short product ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_A"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0014"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a short product ID"
"Create a new order with payment method as upi and currency as USD with a null items array","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": null, ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0015"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a null items array"
"Create a new order with payment method as card and currency as INR with a null shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": null}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0016"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null shipping address"
"Create a new order with payment method as upi and currency as USD with a large total amount","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0017"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a large total amount"
"Create a new order with payment method as card and currency as INR with a null payment","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": null, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0018"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null payment"
"Create a new order with payment method as upi and currency as USD with a short customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_1"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0019"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a short customer ID"
"Create a new order with payment method as card and currency as INR with a null customer","Create_Customer_Order","/v1/orders","POST","{""customer_id"": null, ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0020"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null customer"
"Create a new order with payment method as upi and currency as USD with a long shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""line2"": ""Address 2"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0021"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a long shipping address"
"Create a new order with payment method as card and currency as INR with a null items","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": null, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0022"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null items array"
"Create a new order with payment method as upi and currency as USD with a long payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi_upi_upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0023"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a long payment method"
"Create a new order with payment method as card and currency as INR with a null payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": null, ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0024"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null payment method"
"Create a new order with payment method as upi and currency as USD with a short shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0025"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a short shipping address"
"Create a new order with payment method as card and currency as INR with a large customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123456789"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0026"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a large customer ID"
"Create a new order with payment method as upi and currency as USD with a short payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0027"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a short payment method"
"Create a new order with payment method as card and currency as INR with a null shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": null}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0028"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null shipping address"
"Create a new order with payment method as upi and currency as USD with a long customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123456789"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0029"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a long customer ID"
"Create a new order with payment method as card and currency as INR with a null payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": null, ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0030"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null payment method"
"Create a new order with payment method as upi and currency as USD with a short payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0031"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a short payment method"
"Create a new order with payment method as card and currency as INR with a null shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": null}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0032"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null shipping address"
"Create a new order with payment method as upi and currency as USD with a large total amount","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0033"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a large total amount"
"Create a new order with payment method as card and currency as INR with a null payment","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": null, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0034"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null payment"
"Create a new order with payment method as upi and currency as USD with a short customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_1"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0035"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a short customer ID"
"Create a new order with payment method as card and currency as INR with a null customer","Create_Customer_Order","/v1/orders","POST","{""customer_id"": null, ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0036"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null customer"
"Create a new order with payment method as upi and currency as USD with a long shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""line2"": ""Address 2"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0037"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a long shipping address"
"Create a new order with payment method as card and currency as INR with a null items","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": null, ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0038"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null items array"
"Create a new order with payment method as upi and currency as USD with a long payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi_upi_upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0039"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a long payment method"
"Create a new order with payment method as card and currency as INR with a null payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": null, ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0040"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null payment method"
"Create a new order with payment method as upi and currency as USD with a short shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0041"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a short shipping address"
"Create a new order with payment method as card and currency as INR with a large customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123456789"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0042"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a large customer ID"
"Create a new order with payment method as upi and currency as USD with a short payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0043"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a short payment method"
"Create a new order with payment method as card and currency as INR with a null shipping address","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": ""card"", ""card_token"": ""tok_test_4242""}, ""shipping_address"": null}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0044"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null shipping address"
"Create a new order with payment method as upi and currency as USD with a long customer ID","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123456789"", ""items"": [{""product_id"": ""prod_XYZ"", ""quantity"": 1}], ""payment"": {""method"": ""upi"", ""upi_id"": ""milan@upi""}, ""shipping_address"": {""city"": ""Delhi"", ""line1"": ""45 MG Road"", ""state"": ""DL"", ""country"": ""IN"", ""postal_code"": ""110001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0045"", ""total_amount"": 799, ""currency"": ""USD"", ""estimated_delivery"": ""2025-12-06""}}","valid","boundary","Order creation with a long customer ID"
"Create a new order with payment method as card and currency as INR with a null payment method","Create_Customer_Order","/v1/orders","POST","{""customer_id"": ""cust_123"", ""items"": [{""product_id"": ""prod_ABC"", ""quantity"": 2}], ""payment"": {""method"": null, ""card_token"": ""tok_test_4242""}, ""shipping_address"": {""city"": ""Mumbai"", ""line1"": ""12 Park Lane"", ""state"": ""MH"", ""country"": ""IN"", ""postal_code"": ""400001""}}","{""status"": ""success"", ""data"": {""order_id"": ""ord_20251129_0046"", ""total_amount"": 1998, ""currency"": ""INR"", ""estimated_delivery"": ""2025-12-04""}}","valid","boundary","Order creation with a null payment method"
