"t_id","query","intent_type","confidence_score"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Integration guide for creating orders.","info","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API endpoint for new customer purchases.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to handle idempotency for order creation?","info","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order with tax calculation enabled.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Verify order placement without committing to database.","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat custmer ordr","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","oder creatin","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new orfer for cusotmer","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creaet ordeer","action","0.72"
"347ac849-20ac-4cd7-ae49-288d9e96484b","orddr creation","action","0.71"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt new ordr","action","0.74"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plcae a new order","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","mak an ordar","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","custer orrder","action","0.72"
"347ac849-20ac-4cd7-ae49-288d9e96484b","buyng stuff","action","0.65"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add new ordr","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","shippinng order","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","paymnt for orer","action","0.68"
"347ac849-20ac-4cd7-ae49-288d9e96484b","simulat ordr","action","0.74"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ordr api docs","info","0.69"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creeat an order","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","custmer purhcase","action","0.72"
"347ac849-20ac-4cd7-ae49-288d9e96484b","procss ordr","action","0.71"
"347ac849-20ac-4cd7-ae49-288d9e96484b","onilne ordr","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat nwe costumer ordr","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","api 2 make ordr","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat custoemr order","action","0.74"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ordr entry","action","0.69"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submittig ordr","action","0.72"
"347ac849-20ac-4cd7-ae49-288d9e96484b","place new ordr","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cust ord","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord API","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ord cust 123","action","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create ord w/ COD","action","0.83"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cust purch ord","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add new ord","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API create cust ord","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","sim ord","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ord mgmt API","info","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create ecomm ord","action","0.83"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submit client ord","action","0.84"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord for ID 789","action","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create PO","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order req","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","docs for ord create","info","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","wanna order stuff","action","0.68"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plz add order","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","need 2 make order","action","0.72"
"347ac849-20ac-4cd7-ae49-288d9e96484b","yo add my order bro","action","0.65"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gimme new order","action","0.69"
"347ac849-20ac-4cd7-ae49-288d9e96484b","hook me up with an order","action","0.67"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to buy somethin'","action","0.66"
"347ac849-20ac-4cd7-ae49-288d9e96484b","put in an order for me","action","0.71"
"347ac849-20ac-4cd7-ae49-288d9e96484b","do an order thingy","action","0.64"
"347ac849-20ac-4cd7-ae49-288d9e96484b","lemme place an order","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make a purchase, yo","action","0.68"
"347ac849-20ac-4cd7-ae49-288d9e96484b","checkout my cart","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","can I order now?","action","0.72"
"347ac849-20ac-4cd7-ae49-288d9e96484b","get me an order","action","0.69"
"347ac849-20ac-4cd7-ae49-288d9e96484b","set up a new order","action","0.74"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new order","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create order","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ord","action","0.7"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cust order","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submit order","action","0.83"
"347ac849-20ac-4cd7-ae49-288d9e96484b","place order","action","0.84"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make order","action","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add order","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order API","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an e-commerce purchase order for a guest user.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to place an order for customer ID 78901.","action","0.96"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a subscription order for the monthly service.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process a manual order entry from a customer support agent.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Initiate a new order including multiple product items.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How do I create a new customer order using the API?","info","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Record a sales order with tokenized payment information.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Can I simulate an order creation to test the workflow?","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Place an urgent order with expedited delivery options.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API endpoint for creating new customer purchases.","info","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a new request to add a customer's shopping cart items.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I want to create an order for a B2B client.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Use the API to finalize a customer's checkout process.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate a new order for a returning customer with saved details.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process an order with a discount code applied.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order in test mode to validate data.","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API to handle order placement from a mobile application.","info","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit an order with a specific shipping address and contact.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to add a new order for inventory reservation.","action","0.95"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a new order for a point-of-sale system.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","What API creates customer orders?","info","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Perform an order creation with payment authorization.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Validate order logic without database writes.","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Request to create an order for a new customer account.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Generate an order with an empty shopping cart for later modification.","action","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Process an order for an international customer.","action","0.93"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create an order with a pre-paid gift card.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Submit a bulk order for multiple items.","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for streamlined order placement in e-commerce.","info","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I need to create a new order with specific tax details.","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","How to use the order creation API?","info","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Execute an order creation flow for an existing user.","action","0.94"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API for creating orders with idempotency support.","info","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","Create a customer order for a virtual product.","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat new custmer ordr","action","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submitt an orrder for customeer","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","place a purcahse ordr","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cretae customer ordder","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new orer for custmoer","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add an oredr","action","0.83"
"347ac849-20ac-4cd7-ae49-288d9e96484b","custoemr order creatoin","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make a nwe order","action","0.84"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ordere creatin","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creeat custmer order","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","sumbit custmer order","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plaec a new order","action","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gernerate customer oder","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","process an orer","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","intiate a new orer","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","order creatioon","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","custmer orer api","info","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creeat a new customeer order","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","sbumit an ordr","action","0.8"
"347ac849-20ac-4cd7-ae49-288d9e96484b","pos order creatin","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","automatd order creatin","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ecomerce ordr","action","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ordr for custmer","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","creat a custmer oder","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","simulat order creatin","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create cust ord","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new purch ord API","info","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","submit ecomm ord","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add subscrp ord","action","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make new cust sale","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","ord creation req","action","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","cust order w/ ship details","action","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","proc new ord","action","0.92"
"347ac849-20ac-4cd7-ae49-288d9e96484b","sim ord creation","action","0.85"
"347ac849-20ac-4cd7-ae49-288d9e96484b","API to create cust ord","info","0.88"
"347ac849-20ac-4cd7-ae49-288d9e96484b","gen cust ord","action","0.89"
"347ac849-20ac-4cd7-ae49-288d9e96484b","pos ord api","info","0.86"
"347ac849-20ac-4cd7-ae49-288d9e96484b","new ord for ID 123","action","0.9"
"347ac849-20ac-4cd7-ae49-288d9e96484b","create cust purchase","action","0.91"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add ord via API","action","0.87"
"347ac849-20ac-4cd7-ae49-288d9e96484b","plz add order for customer","action","0.78"
"347ac849-20ac-4cd7-ae49-288d9e96484b","lemme put in an order","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","I gotta make a purchase","action","0.81"
"347ac849-20ac-4cd7-ae49-288d9e96484b","bang out a new customer order","action","0.73"
"347ac849-20ac-4cd7-ae49-288d9e96484b","add this to order list","action","0.77"
"347ac849-20ac-4cd7-ae49-288d9e96484b","can I make an order real quick?","action","0.82"
"347ac849-20ac-4cd7-ae49-288d9e96484b","do an order for me","action","0.76"
"347ac849-20ac-4cd7-ae49-288d9e96484b","fire up a new order","action","0.75"
"347ac849-20ac-4cd7-ae49-288d9e96484b","just create an order","action","0.83"
"347ac849-20ac-4cd7-ae49-288d9e96484b","make a fresh order","action","0.79"
"347ac849-20ac-4cd7-ae49-288d9e96484b","customer purchase","action","0.92"
